iter	Logloss
0	0.6899913878
1	0.6863149293
2	0.6826601661
3	0.679045704
4	0.6751553822
5	0.6714724014
6	0.6677910684
7	0.6643112406
8	0.6610670401
9	0.6578159053
10	0.6544345302
11	0.6511297752
12	0.6478518646
13	0.6448075903
14	0.6417346178
15	0.6388699475
16	0.6358779204
17	0.6327257875
18	0.6298020731
19	0.6268563887
20	0.6239737306
21	0.6210835203
22	0.6183656364
23	0.615619741
24	0.6128357414
25	0.6101852091
26	0.6075924164
27	0.6052901072
28	0.6027833404
29	0.6003018391
30	0.5976747185
31	0.5953205739
32	0.5929957455
33	0.5905445901
34	0.5882196931
35	0.5860443287
36	0.583787401
37	0.5815035602
38	0.5791805169
39	0.5771084111
40	0.5748363104
41	0.5726864174
42	0.5705600048
43	0.5685763622
44	0.5667189779
45	0.5646614272
46	0.5627052813
47	0.5607983618
48	0.5588466443
49	0.5569782407
50	0.5551849125
51	0.5533344282
52	0.5516097559
53	0.5499216773
54	0.5480286262
55	0.5464807774
56	0.5447611514
57	0.5430474297
58	0.5413406767
59	0.5397865115
60	0.5381578546
61	0.5365832986
62	0.5349563581
63	0.5334156839
64	0.532039166
65	0.5305689328
66	0.528999217
67	0.5276276424
68	0.5261002531
69	0.5247679497
70	0.5232959657
71	0.5218712171
72	0.5206266903
73	0.519297957
74	0.517986834
75	0.5165937357
76	0.5152151925
77	0.5139024904
78	0.5126851514
79	0.5114014908
80	0.5102460451
81	0.5089709322
82	0.5079004826
83	0.5066894257
84	0.5054778538
85	0.5043464721
86	0.5031254257
87	0.5020505478
88	0.5009327257
89	0.4998113677
90	0.4986750085
91	0.4976677567
92	0.4964326359
93	0.4954127514
94	0.4944535589
95	0.493426294
96	0.492452718
97	0.4914540483
98	0.4904403772
99	0.4894868488
100	0.488625491
101	0.4877451842
102	0.4867849618
103	0.4859127564
104	0.4849989111
105	0.484118364
106	0.4832513078
107	0.482396129
108	0.4814941955
109	0.4807061623
110	0.4798650581
111	0.4790150972
112	0.4781574468
113	0.4772901846
114	0.4764236776
115	0.4756635187
116	0.474865805
117	0.4741133356
118	0.4734040165
119	0.472703554
120	0.4717935878
121	0.4709996845
122	0.4703115114
123	0.4695468555
124	0.4687697043
125	0.4680873326
126	0.4673651405
127	0.4666915911
128	0.4659719049
129	0.4653260925
130	0.4646456775
131	0.4640656376
132	0.4633389141
133	0.4626731229
134	0.4620501386
135	0.4614106769
136	0.4607456752
137	0.4601251626
138	0.4595334854
139	0.4589437993
140	0.4584863446
141	0.4578898272
142	0.4572841786
143	0.4568026943
144	0.4563028102
145	0.4557425088
146	0.4551794955
147	0.4546508446
148	0.4540527481
149	0.4534754887
150	0.4528994651
151	0.4523556412
152	0.4518262694
153	0.4513651072
154	0.4508079984
155	0.4503439527
156	0.4498358298
157	0.4494336432
158	0.449052019
159	0.4485362067
160	0.4480948861
161	0.4477110306
162	0.4472122793
163	0.4467507739
164	0.4462607076
165	0.4456991704
166	0.4452599782
167	0.4448045831
168	0.4443732863
169	0.4439016885
170	0.443395694
171	0.4430055908
172	0.4426144234
173	0.4421698417
174	0.4417524134
175	0.4413530073
176	0.4409474908
177	0.4404833421
178	0.4401444906
179	0.4397918735
